,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
0,honda,accord,2500,1998,with mileage,198000.0,petrol,2000.0,purple,mechanics,front-wheel drive,D
1,honda,accord,3327,2000,with mileage,292000.0,petrol,2000.0,gray,mechanics,front-wheel drive,D
2,honda,accord,2300,1997,with mileage,280000.0,petrol,1800.0,other,mechanics,front-wheel drive,D
3,honda,accord,10000,2008,with mileage,205000.0,petrol,2400.0,gray,auto,front-wheel drive,D
4,honda,accord,3899,2001,with mileage,300000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D
5,honda,accord,5300,2002,with mileage,350000.0,petrol,3000.0,silver,auto,front-wheel drive,D
6,honda,accord,6600,2006,with mileage,193120.8,petrol,2400.0,red,auto,front-wheel drive,D
7,honda,accord,7300,2006,with mileage,245000.0,petrol,2000.0,brown,mechanics,front-wheel drive,D
8,honda,accord,3300,2000,with mileage,300000.0,diesel,2000.0,silver,mechanics,front-wheel drive,D
9,honda,accord,3750,2001,with mileage,342000.0,petrol,2300.0,silver,auto,front-wheel drive,D
10,honda,accord,3800,2000,with mileage,308000.0,petrol,2000.0,gray,auto,front-wheel drive,D
11,honda,accord,3100,1997,with mileage,370000.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,D
12,honda,accord,5000,2005,with mileage,330000.0,diesel,2200.0,silver,mechanics,front-wheel drive,D
13,honda,accord,2805,1999,with mileage,354000.0,diesel,1994.0,silver,mechanics,front-wheel drive,D
14,honda,accord,6200,2004,with mileage,340000.0,petrol,2000.0,gray,mechanics,front-wheel drive,D
15,honda,accord,6400,2003,with mileage,258000.0,petrol,2400.0,blue,mechanics,front-wheel drive,D
16,honda,accord,5199,2003,with mileage,370000.0,petrol,2400.0,other,mechanics,front-wheel drive,D
17,honda,accord,3999,1999,with mileage,359000.0,petrol,1800.0,purple,mechanics,front-wheel drive,D
18,honda,accord,3900,2002,with mileage,300000.0,petrol,2000.0,black,mechanics,front-wheel drive,D
19,honda,accord,2100,1996,with mileage,351000.0,petrol,2000.0,other,mechanics,front-wheel drive,D
20,honda,accord,3150,2000,with mileage,300000.0,petrol,1600.0,silver,mechanics,front-wheel drive,D
21,honda,accord,2800,1999,with mileage,350000.0,petrol,2000.0,yellow,mechanics,front-wheel drive,D
22,honda,accord,7990,2007,with mileage,270000.0,petrol,2400.0,black,auto,front-wheel drive,D
23,honda,accord,3500,1999,with mileage,260000.0,petrol,1600.0,silver,mechanics,front-wheel drive,D
24,honda,accord,4200,2000,with mileage,160000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D
25,honda,accord,3900,1999,with mileage,330000.0,petrol,1800.0,silver,mechanics,front-wheel drive,D
26,honda,accord,10000,2008,with mileage,150000.0,petrol,2000.0,silver,auto,front-wheel drive,D
27,honda,accord,6100,2003,with mileage,320000.0,petrol,2000.0,blue,mechanics,front-wheel drive,D
28,honda,accord,9800,2008,with mileage,188000.0,petrol,2400.0,blue,mechanics,front-wheel drive,D
29,honda,accord,8349,2006,with mileage,115000.0,petrol,2000.0,other,auto,front-wheel drive,D
30,honda,accord,3500,2000,with mileage,430000.0,petrol,1600.0,green,mechanics,front-wheel drive,D
31,honda,accord,3500,1999,with mileage,282000.0,petrol,1600.0,silver,mechanics,front-wheel drive,D
32,honda,accord,8000,2007,with mileage,326000.0,diesel,2200.0,gray,mechanics,front-wheel drive,D
33,honda,accord,7000,2006,with mileage,230000.0,petrol,2400.0,black,auto,front-wheel drive,D
34,honda,accord,6200,2004,with mileage,172000.0,petrol,2400.0,gray,auto,front-wheel drive,D
35,honda,accord,8950,2007,with mileage,118286.49,petrol,2400.0,white,auto,front-wheel drive,D
36,honda,accord,10250,2008,with mileage,157000.0,petrol,2400.0,black,mechanics,front-wheel drive,D
37,honda,accord,6900,2004,with mileage,260000.0,petrol,2000.0,gray,auto,front-wheel drive,D
